number,question,photo,section,A,B,C,D,E,answer
1,¿Cuál de los siguientes no es un microorganismo patógeno?,,BIOLOGÍA,Virus,Bacterias,Hongos,Protozoarios,Glóbulos blancos,E
2,¿Cuál es el principal factor que determina el clima en una región?,,BIOLOGÍA,La presencia de animales en el ecosistema.,"La altitud, la cercanía al mar y la temperatura.",La cantidad de minerales en el suelo.,La diversidad de microorganismos.,La composición de la biosfera.,B
3,¿Cuál es la importancia de los microorganismos en la industria?,,BIOLOGÍA,Son la principal fuente de contaminación ambiental.,Permiten la producción de alimentos fermentados y medicamentos.,Son responsables de todas las enfermedades en los seres vivos.,Se utilizan exclusivamente en la producción de textiles.,Solo tienen importancia en la biología y no en la medicina.,B
4,¿Qué tipo de adaptación es el camuflaje en los animales?,,BIOLOGÍA,Morfológica.,Conductual.,Fisiológica.,Genética.,Estructural,A
5,¿Cuál de los siguientes animales pertenece al grupo de los equinodermos?,,BIOLOGÍA,Pulpo,Medusa,Estrella de mar,Anguila,Salamandra,C
6,¿Cuál es la función principal de la fotosíntesis?,,BIOLOGÍA,Obtener energía a partir de materia orgánica.,Sintetizar glucosa utilizando luz solar,Producir energía en forma de ATP sin necesidad de oxígeno.,Transportar oxígeno en la sangre.,Descomponer moléculas de agua para liberar carbono.,B
7,¿Cuál de los siguientes tejidos es exclusivo de las plantas?,,BIOLOGÍA,Epidérmico,Conjuntivo,Muscular,Xilema,Nervioso,D
8,¿Qué estructura celular es la encargada de la síntesis de proteínas?,,BIOLOGÍA,Mitocondria,Lisosoma,Ribosoma,Cloroplasto,Núcleo,C
9,¿Cuál es la molécula responsable de almacenar y transmitir la información genética?,,BIOLOGÍA,ARN mensajero,ADN,Proteína,Lípidos,Glucógeno,B
10,¿Cuál de las siguientes no es una función del sistema circulatorio?,,BIOLOGÍA,Transporte de nutrientes,Regulación de la temperatura,Producción de glóbulos blancos,Eliminación de desechos metabólicos,Transporte de oxígeno y dióxido de carbono,C
11,Un agricultor ha notado que sus cultivos de tomate están siendo atacados por un tipo de hongo que reduce la producción de frutos. Sabe que algunos microorganismos pueden ser beneficiosos y otros perjudiciales. ¿Qué estrategia biotecnológica podría emplear para combatir este problema sin recurrir a productos químicos agresivos?,,BIOLOGÍA,Aumentar la exposición de las plantas a la luz solar.,Aplicar bacterias antagonistas que inhiban el crecimiento del hongo,Reducir la cantidad de agua aplicada a los cultivos.,Introducir insectos depredadores en el campo.,Utilizar fertilizantes ricos en nitrógeno.,B
12,"En un ecosistema marino, los científicos han observado que la población de tiburones ha disminuido drásticamente debido a la pesca excesiva. ¿Cuál podría ser una consecuencia ecológica de esta reducción?",,BIOLOGÍA,Aumento en la población de presas como peces pequeños y moluscos.,Disminución de la biodiversidad debido a la alteración de la cadena trófica.,Mayor proliferación de algas y cambios en la calidad del agua.,Desequilibrio en el ecosistema debido a la falta de un depredador tope.,Todas las anteriores.,E
13,"En una investigación científica, se observó que un grupo de bacterias puede sobrevivir en un ambiente extremo con temperaturas superiores a 80°C. ¿Cuál de las siguientes adaptaciones es más probable que tengan estos microorganismos?",,BIOLOGÍA,Una membrana celular altamente permeable al agua.,Enzimas resistentes a la desnaturalización por calor.,Un metabolismo basado en la fotosíntesis.,Presencia de cilios largos para moverse en busca de zonas frías.,Capacidad de vivir exclusivamente en simbiosis con otros organismos.,B
14,Un paciente es diagnosticado con una enfermedad metabólica que impide la descomposición de ciertas grasas en su organismo. ¿Qué orgánulo celular podría estar funcionando incorrectamente?,,BIOLOGÍA,Ribosomas,Mitocondrias,Lisosomas,Retículo endoplasmático rugoso.,Cloroplastos,C
15,Un equipo de biólogos marinos investiga la disminución de los arrecifes de coral en una región tropical. Identifican que el aumento de la temperatura del océano y la acidificación del agua han afectado a estos ecosistemas. ¿Cuál de los siguientes es el principal causante de estos cambios ambientales?,,BIOLOGÍA,La actividad sísmica submarina.,La reducción de la salinidad del océano.,El aumento de los gases de efecto invernadero.,La migración de especies invasoras.,La disminución de la radiación solar.,C
